 shape_pt_sequence |    shape_pt_lat    |    shape_pt_lon
-------------------+--------------------+---------------------
                 1 | 13.318293542300914 |  -59.63852602582265
                 2 |         13.3182949 |         -59.6385268
                 3 |         13.3182956 |         -59.6385597
                 4 |         13.3183041 |         -59.6386006
                 5 |         13.3183196 |         -59.6386428
                 6 |         13.3184693 |         -59.6389576
                 7 |         13.3184668 |         -59.6390119
                 8 |         13.3184354 |         -59.6390476
                 9 |         13.3183343 |         -59.6390997
                10 |         13.3183291 |         -59.6391373
                11 |         13.3183611 |         -59.6392456
                12 |          13.318356 |         -59.6393434
                13 |         13.3182985 |         -59.6394438
                14 |         13.3183052 |         -59.6395317
                15 |          13.318335 |         -59.6396335
                16 | 13.318449352007603 | -59.639862541088185
                 1 | 13.326607060339862 |  -59.61552132051129
                 2 |         13.3264114 |         -59.6156721
                 3 |         13.3259475 |         -59.6159291
                 4 |          13.325635 |         -59.6161146
                 5 |         13.3252255 |         -59.6163443
                 6 |         13.3251286 |         -59.6164124
                 7 |         13.3245466 |         -59.6167544
                 8 |         13.3239372 |         -59.6171044
                 9 |         13.3235481 |         -59.6172778
                10 |         13.3229333 |         -59.6176022
                11 |         13.3226254 |         -59.6178103
                12 |         13.3223862 |         -59.6179741
                13 |         13.3223388 |         -59.6180066
                14 |         13.3219112 |          -59.618411
                15 |         13.3216074 |         -59.6187893
                16 |         13.3213449 |         -59.6191824
                17 |          13.321105 |         -59.6194709
                18 |         13.3205495 |         -59.6202109
                19 |         13.3201252 |         -59.6208474
                20 |         13.3196702 |         -59.6215653
                21 |         13.3193094 |         -59.6220374
                22 |         13.3184526 |           -59.62291
                23 |         13.3181959 |          -59.623207
                24 |         13.3180918 |         -59.6233277
                25 |         13.3179816 |         -59.6234396
                26 |   13.3179604303923 | -59.623472629021435
                 1 | 13.262027232844728 |  -59.64120560482215
                 2 |         13.2617602 |         -59.6411561
                 3 |         13.2612641 |         -59.6411909
                 4 |          13.260821 |         -59.6412734
                 5 |         13.2601501 |         -59.6413971
                 6 |         13.2594029 |         -59.6415355
                 7 |         13.2589314 |         -59.6416298
                 8 |         13.2581887 |         -59.6417685
                 9 |         13.2579632 |         -59.6418036
                10 |         13.2576905 |         -59.6418165
                11 |         13.2574842 |         -59.6418143
                12 |         13.2572964 |         -59.6418108
                13 |          13.256875 |         -59.6418154
                14 |         13.2566187 |         -59.6418304
                15 |         13.2564598 |         -59.6418581
                16 |         13.2561723 |         -59.6419283
                17 |         13.2559134 |          -59.642038
                18 |         13.2556332 |         -59.6421726
                19 |         13.2552416 |         -59.6423696
                20 |         13.2551169 |         -59.6424193
                21 |         13.2548199 |         -59.6425157
                22 |         13.2546837 |         -59.6425314
                23 |         13.2545262 |         -59.6425197
                24 |         13.2543144 |         -59.6424768
                25 |         13.2538861 |          -59.642382
                26 |          13.253589 |         -59.6423197
                27 | 13.253113658490193 |   -59.6422245961784
                 1 | 13.316402248007629 |  -59.63206325157593
                 2 |         13.3167169 |          -59.632236
                 3 |         13.3171594 |         -59.6325015
                 4 |         13.3179427 |         -59.6329739
                 5 |         13.3182063 |         -59.6330819
                 6 |         13.3189987 |         -59.6335163
                 7 | 13.318999816302762 |  -59.63355306484308
                 1 | 13.319444807391863 |  -59.63691947298049
                 2 |          13.319516 |         -59.6373999
                 3 |         13.3195523 |          -59.637743
                 4 | 13.319621833793576 | -59.638349960295685
                 1 |     13.27447448522 | -59.646632437061115
                 2 |         13.2743785 |         -59.6466264
                 3 |         13.2742401 |         -59.6466328
                 4 |         13.2740287 |         -59.6466558
                 5 |         13.2737775 |         -59.6466731
                 6 |         13.2736527 |         -59.6466658
                 7 |         13.2735277 |          -59.646645
                 8 |         13.2731383 |         -59.6464964
                 9 |         13.2728451 |         -59.6464004
                10 |         13.2724241 |         -59.6463131
                11 |         13.2720499 |         -59.6462286
                12 |         13.2718592 |         -59.6462114
                13 |         13.2715709 |         -59.6460908
                14 |         13.2713318 |         -59.6459597
                15 |         13.2710662 |         -59.6458626
                16 |         13.2710238 |         -59.6458471
                17 |         13.2707889 |         -59.6457589
                18 |          13.270491 |         -59.6456577
                19 |         13.2702212 |         -59.6455511
                20 |         13.2700105 |         -59.6454407
                21 |         13.2699456 |         -59.6453966
                22 |         13.2698806 |          -59.645346
                23 |          13.269825 |         -59.6452473
                24 |         13.2697519 |         -59.6450334
                25 |         13.2696041 |         -59.6451354
                26 |         13.2694313 |         -59.6451826
                27 |         13.2693609 |         -59.6451938
                28 |         13.2692615 |         -59.6451896
                29 |         13.2691161 |         -59.6451648
                30 |         13.2690708 |         -59.6451428
                31 |         13.2690316 |          -59.645128
                32 |         13.2687224 |         -59.6450281
                33 |         13.2684224 |         -59.6448977
                34 | 13.268314982161616 |  -59.64485617916373
                 1 | 13.275820877691878 |  -59.64685903473853
                 2 |         13.2757828 |         -59.6468533
                 3 |            13.2754 |         -59.6467614
