ID,Work Item Type,Title 1,Title 2,Title 3,Title 4,Title 5,Assigned To,State,Tags
"4196","Epic","ArkNet Transit Launcher - Production Infrastructure",,,,,"Guerilla Codester <guerillacodester@gmail.com>","Active","electron"
"4197","Feature",,"OS Adapters & Service Control",,,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4198","User Story",,,"Implement systemd adapter (detect/start/stop/enable/disable)",,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4199","Task",,,,"Add unit tests for systemd adapter (specific to Linux)",,,"Closed",
"4200","User Story",,,"Implement Windows service adapter (sc/PowerShell)",,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4201","Task",,,,"Add unit tests for Windows adapter (specific to Windows)",,,"Closed",
"4202","User Story",,,"Add per-user autostart API",,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4203","Task",,,,"Design API & permission checks for per-user autostart",,"Guerilla Codester <guerillacodester@gmail.com>","Closed",
"4204","Feature",,"ServiceManager Integration",,,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4205","User Story",,,"Wire adapters into ServiceManager",,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4206","Task",,,,"Add unit tests for ServiceManager adapter wiring",,,"Removed",
"4207","Feature",,"Redis Resilience & Health",,,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4208","User Story",,,"Implement redis_probe and detection",,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4209","Task",,,,"Expose Redis detection in /services status",,"Guerilla Codester <guerillacodester@gmail.com>","Closed",
"4210","User Story",,,"Optimize Redis client initialization for resilience",,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4313","Task",,,,"Optimize route geometry cache implementation",,"Guerilla Codester <guerillacodester@gmail.com>","Closed",
"4318","Bug",,,,"Strapi spams [ioredis] Unhandled error event: AggregateError [ECONNREFUSED] when redis-server.exe is not running",,,"Closed",
"4451","Task",,,,"Task: Implement Unified Cross-Platform Redis Service Manager",,,"Closed",
"4211","Feature",,"Desktop UI (Electron) & Packaging",,,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4212","User Story",,,"Create Electron scaffold and main process",,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4213","Task",,,,"Integrate Electron with RPC/REST to launcher",,"Guerilla Codester <guerillacodester@gmail.com>","Closed",
"4214","Feature",,"OS Logging Adapters",,,,"Guerilla Codester <guerillacodester@gmail.com>","New",
"4215","User Story",,,"Implement journald logging adapter",,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4216","User Story",,,"Implement Windows Event Log adapter",,,"Guerilla Codester <guerillacodester@gmail.com>","New",
"4217","Task",,,,"Document logging adapter behavior and permissions",,,"New",
"4218","Feature",,"Tests",,,,"Guerilla Codester <guerillacodester@gmail.com>","New",
"4219","User Story",,,"Create pytest tests for adapters and wiring (integration)",,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4314","Task",,,,"Create pytest tests for adapters and wiring (integration)",,,"Removed",
"4220","Feature",,"Documentation",,,,"Guerilla Codester <guerillacodester@gmail.com>","New",
"4221","User Story",,,"Update README with config.ini examples for auto_start",,,"Guerilla Codester <guerillacodester@gmail.com>","New",
"4315","Task",,,,"Update README with config.ini examples for auto_start",,"Guerilla Codester <guerillacodester@gmail.com>","New",
"4222","Feature",,"Dashboard Resilience",,,,"Guerilla Codester <guerillacodester@gmail.com>","New",
"4223","User Story",,,"Add health-probe-before-connect to dashboard",,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4316","Task",,,,"Add health-probe-before-connect to dashboard  Implement a health check routine in the dashboard star",,,"Removed",
"4224","User Story",,,"Remove stale .next artifacts",,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4317","Task",,,,"Remove stale .next artifacts",,,"Removed",
"4225","User Story",,,"Defensive logging in Strapi and launcher",,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4226","Task",,,,"Add defensive logging in Strapi and launcher",,,"Removed",
"4227","Feature",,"Caching & Performance",,,,"Guerilla Codester <guerillacodester@gmail.com>","New",
